# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S21;im:Trc2_S21;
2.410333333333334E+009;1.704471707344055E-001;-9.053296409547329E-003;-3.644777229055762E-003;-1.731645897962153E-003;
2.410500000000000E+009;1.698510348796845E-001;-1.078384369611740E-002;-3.684116760268807E-003;-1.602472737431526E-003;
2.410666666666667E+009;1.694720834493637E-001;-1.268480066210032E-002;-3.930359147489071E-003;-1.287231105379760E-003;
2.410833333333334E+009;1.689372360706329E-001;-1.450554840266705E-002;-4.016039893031120E-003;-1.406895811669529E-003;
2.411000000000000E+009;1.686524003744125E-001;-1.639705337584019E-002;-4.168977029621601E-003;-1.169785740785301E-003;
2.411166666666667E+009;1.681983917951584E-001;-1.826833188533783E-002;-4.085352178663015E-003;-9.902563178911805E-004;
2.411333333333334E+009;1.680291444063187E-001;-2.032539434731007E-002;-4.280031658709049E-003;-8.863730472512543E-004;
2.411500000000000E+009;1.678437739610672E-001;-2.236833237111569E-002;-4.315624944865704E-003;-7.445455994457007E-004;
2.411666666666667E+009;1.677683740854263E-001;-2.423634193837643E-002;-4.459324292838574E-003;-5.438306834548712E-004;
2.411833333333334E+009;1.676912009716034E-001;-2.621934004127979E-002;-4.535575397312641E-003;-4.850713303312659E-004;
2.412000000000000E+009;1.679171025753021E-001;-2.826718613505364E-002;-4.606729838997126E-003;-1.701685541775078E-004;
2.412166666666667E+009;1.679491251707077E-001;-3.005870990455151E-002;-4.692360293120146E-003;-1.096212072297931E-004;
2.412333333333334E+009;1.683066189289093E-001;-3.210607543587685E-002;-4.777893889695406E-003;3.222382656531408E-005;
2.412500000000000E+009;1.683664321899414E-001;-3.378814831376076E-002;-4.850054159760475E-003;3.295046917628497E-004;
2.412666666666667E+009;1.687010526657105E-001;-3.610413894057274E-002;-4.770994186401367E-003;6.727963918820024E-004;
2.412833333333334E+009;1.692880690097809E-001;-3.768846392631531E-002;-4.887285642325878E-003;6.968718371354044E-004;
2.413000000000000E+009;1.697154045104981E-001;-3.938293457031250E-002;-4.753860179334879E-003;8.163874153979123E-004;
2.413166666666667E+009;1.700773388147354E-001;-4.129905998706818E-002;-4.861927125602961E-003;1.300291856750846E-003;
2.413333333333334E+009;1.706037372350693E-001;-4.301366582512856E-002;-4.841800779104233E-003;1.386948162689805E-003;
2.413500000000000E+009;1.710711270570755E-001;-4.465989023447037E-002;-4.881619941443205E-003;1.727702678181231E-003;
2.413666666666667E+009;1.718390733003616E-001;-4.623581469058991E-002;-4.758227616548538E-003;1.859674579463899E-003;
2.413833333333334E+009;1.722280830144882E-001;-4.763527959585190E-002;-4.615089856088162E-003;2.167480764910579E-003;
2.414000000000000E+009;1.727139353752136E-001;-4.895657300949097E-002;-4.471520893275738E-003;2.381719881668687E-003;
2.414166666666667E+009;1.735300868749619E-001;-5.025473982095718E-002;-4.438048228621483E-003;2.549465978518128E-003;
2.414333333333334E+009;1.740803271532059E-001;-5.147801712155342E-002;-4.353187046945095E-003;2.728197257965803E-003;
2.414500000000000E+009;1.748384237289429E-001;-5.257356911897659E-002;-4.221322014927864E-003;3.167203860357404E-003;
2.414666666666667E+009;1.752517372369766E-001;-5.364855378866196E-002;-4.066299647092819E-003;3.256068099290133E-003;
2.414833333333334E+009;1.758046150207520E-001;-5.472218245267868E-002;-3.766308072954416E-003;3.394465195015073E-003;
2.415000000000000E+009;1.763322353363037E-001;-5.545924231410027E-002;-3.771238960325718E-003;3.493175376206636E-003;
2.415166666666667E+009;1.766514033079147E-001;-5.617789551615715E-002;-3.556859213858843E-003;3.775241784751415E-003;
2.415333333333334E+009;1.772879958152771E-001;-5.703599378466606E-002;-3.456217935308814E-003;3.796553239226341E-003;
2.415500000000000E+009;1.776334792375565E-001;-5.756909400224686E-002;-3.291561501100659E-003;4.029028583317995E-003;
2.415666666666667E+009;1.778991818428040E-001;-5.793998390436173E-002;-3.115471219643951E-003;4.038593266159296E-003;
2.415833333333334E+009;1.781155467033386E-001;-5.849088355898857E-002;-2.901548752561212E-003;4.160851240158081E-003;
2.416000000000000E+009;1.780097335577011E-001;-5.896059423685074E-002;-2.755834488198161E-003;4.270208533853293E-003;
2.416166666666667E+009;1.783666163682938E-001;-5.918608605861664E-002;-2.539254492148757E-003;4.618091508746147E-003;
2.416333333333334E+009;1.782457530498505E-001;-5.951350927352905E-002;-2.453224966302514E-003;4.501630086451769E-003;
2.416500000000000E+009;1.782231330871582E-001;-5.980520322918892E-002;-2.049420494586229E-003;4.603707231581211E-003;
2.416666666666667E+009;1.780080348253250E-001;-6.001958623528481E-002;-1.998102059587836E-003;4.604602232575417E-003;
2.416833333333334E+009;1.776787191629410E-001;-6.036090850830078E-002;-1.777181867510080E-003;4.752180539071560E-003;
2.417000000000000E+009;1.773221790790558E-001;-6.047135964035988E-002;-1.659929170273244E-003;4.738159012049437E-003;
2.417166666666667E+009;1.767119765281677E-001;-6.077355518937111E-002;-1.327216508798301E-003;4.874228499829769E-003;
2.417333333333334E+009;1.763040870428085E-001;-6.086305901408196E-002;-1.214536372572184E-003;4.816538654267788E-003;
